state;action_reward;n_state
14512&1|8998&1|9478&1|12593&1|18849&0|14512&1|11136&0|13598&1|455&1|4111&0;14731&1|15144&1|3704&1;14512&1|8998&1|9478&1|12593&1|18849&0|14512&1|11136&0|13598&1|455&1|4111&0|14731&1|15144&1|3704&1
6849&1|20186&1|3986&0|8163&1|12735&0|12917&1|3287&0|14675&0|12917&1|12735&1;15957&0|11084&0|10840&0;6849&1|20186&1|3986&0|8163&1|12735&0|12917&1|3287&0|14675&0|12917&1|12735&1|15957&0|11084&0|10840&0
14680&0|2300&1|18138&1|13046&1|13220&1|13871&1|6300&1|14680&1|8642&1|13046&0;5933&1|9652&0|8058&1;14680&0|2300&1|18138&1|13046&1|13220&1|13871&1|6300&1|14680&1|8642&1|13046&0|5933&1|9652&0|8058&1
16309&1|11916&1|2022&1|7193&0|14144&0|13605&1|7700&0|6454&0|10822&1|8474&1;6192&0|4533&1|16120&1;16309&1|11916&1|2022&1|7193&0|14144&0|13605&1|7700&0|6454&0|10822&1|8474&1|6192&0|4533&1|16120&1
2089&0|15216&1|14277&0|14277&1|12991&0|17764&0|2753&0|19197&0|20248&0|20499&0;10910&0|12032&0|9930&0;2089&0|15216&1|14277&0|14277&1|12991&0|17764&0|2753&0|19197&0|20248&0|20499&0|10910&0|12032&0|9930&0
14013&1|10200&0|7409&1|16979&0|11983&0|14553&0|190&1|971&0|631&0|16283&0;15116&0|18784&0|7564&0;14013&1|10200&0|7409&1|16979&0|11983&0|14553&0|190&1|971&0|631&0|16283&0|15116&0|18784&0|7564&0
8708&1|18865&0|5423&0|5519&1|13319&0|427&0|8026&1|19941&1|15609&0|19494&0;20176&0|7171&0|1677&0;8708&1|18865&0|5423&0|5519&1|13319&0|427&0|8026&1|19941&1|15609&0|19494&0|20176&0|7171&0|1677&0
20276&0|17686&1|5898&1|11664&1|3825&1|8135&1|13972&1|20550&1|10529&1|1678&1;14204&1|19126&1|271&1;20276&0|17686&1|5898&1|11664&1|3825&1|8135&1|13972&1|20550&1|10529&1|1678&1|14204&1|19126&1|271&1
4634&1|13248&1|17654&0|13853&0|8203&1|6930&1|20586&0|14573&0|6774&0|14573&1;18284&0|16255&0|11018&0;4634&1|13248&1|17654&0|13853&0|8203&1|6930&1|20586&0|14573&0|6774&0|14573&1|18284&0|16255&0|11018&0
17082&1|15695&0|640&1|19247&0|13018&0|16898&0|15932&0|12916&0|9991&0|18132&1;9711&0|15816&0|223&0;17082&1|15695&0|640&1|19247&0|13018&0|16898&0|15932&0|12916&0|9991&0|18132&1|9711&0|15816&0|223&0
5896&0|20279&1|8894&1|3556&1|9832&1|5883&0|20356&0|11945&0|14047&1|14374&1;12507&0|14209&0|7291&0;5896&0|20279&1|8894&1|3556&1|9832&1|5883&0|20356&0|11945&0|14047&1|14374&1|12507&0|14209&0|7291&0
18131&1|14046&1|2364&1|17020&1|4519&1|16766&1|7605&1|17581&1|2559&0|1481&1;996&0|9307&1|3350&0;18131&1|14046&1|2364&1|17020&1|4519&1|16766&1|7605&1|17581&1|2559&0|1481&1|996&0|9307&1|3350&0
11945&1|4192&0|6779&0|13163&1|9853&0|15216&0|10364&1|2494&0|7162&1|13598&0;13709&0|16975&0|3500&1;11945&1|4192&0|6779&0|13163&1|9853&0|15216&0|10364&1|2494&0|7162&1|13598&0|13709&0|16975&0|3500&1
9734&1|9509&1|14632&1|15900&1|8718&1|10273&0|15782&1|10234&1|14047&0|12232&1;11650&1|20660&1|15591&1;9734&1|9509&1|14632&1|15900&1|8718&1|10273&0|15782&1|10234&1|14047&0|12232&1|11650&1|20660&1|15591&1
752&0|16898&1|12541&1|231&0|9636&0|10580&1|9422&0|14328&1|12345&0|19091&0;12586&1|8776&1|10771&0;752&0|16898&1|12541&1|231&0|9636&0|10580&1|9422&0|14328&1|12345&0|19091&0|12586&1|8776&1|10771&0
8479&0|6471&0|7114&0|13890&0|15089&0|19486&1|9749&0|16507&1|13959&0|10388&1;13843&0|1309&0|8875&0;8479&0|6471&0|7114&0|13890&0|15089&0|19486&1|9749&0|16507&1|13959&0|10388&1|13843&0|1309&0|8875&0
9422&0|1284&0|17427&0|14523&0|15216&1|8100&0|11555&1|7617&0|10365&1|16303&0;3025&0|15609&1|1475&0;9422&0|1284&0|17427&0|14523&0|15216&1|8100&0|11555&1|7617&0|10365&1|16303&0|3025&0|15609&1|1475&0
16953&1|18359&1|7894&0|3414&0|16890&1|10005&0|15247&0|3293&0|13304&1|15589&0;7985&0|13604&0|16894&0;16953&1|18359&1|7894&0|3414&0|16890&1|10005&0|15247&0|3293&0|13304&1|15589&0|7985&0|13604&0|16894&0
18882&1|4367&1|12867&1|4701&0|9434&1|12970&1|18306&0|12016&1|18942&1|1388&0;13493&1|15520&1|14290&1;18882&1|4367&1|12867&1|4701&0|9434&1|12970&1|18306&0|12016&1|18942&1|1388&0|13493&1|15520&1|14290&1
15609&0|17694&0|1284&0|8599&0|20761&0|9726&0|11555&0|16666&0|20761&1|14523&1;9325&0|12655&0|752&0;15609&0|17694&0|1284&0|8599&0|20761&0|9726&0|11555&0|16666&0|20761&1|14523&1|9325&0|12655&0|752&0
9657&1|7963&1|7062&0|7062&0|9356&0|10167&1|17668&0|9657&1|7016&1|7963&1;17398&1|2886&1|2886&1;9657&1|7963&1|7062&0|7062&0|9356&0|10167&1|17668&0|9657&1|7016&1|7963&1|17398&1|2886&1|2886&1
2063&0|17907&1|10630&1|322&0|12852&1|8745&1|1688&0|12852&0|15597&0|14616&1;2229&1|13911&1|10705&1;2063&0|17907&1|10630&1|322&0|12852&1|8745&1|1688&0|12852&0|15597&0|14616&1|2229&1|13911&1|10705&1
8227&1|14649&1|5730&1|14649&1|7632&0|5162&1|5162&0|12219&1|19510&0|14649&1;17396&0|9817&0|2398&0;8227&1|14649&1|5730&1|14649&1|7632&0|5162&1|5162&0|12219&1|19510&0|14649&1|17396&0|9817&0|2398&0
16353&1|14120&1|7465&0|4708&0|7879&0|11035&1|433&1|7393&1|65&1|6022&0;13233&0|19451&0|2549&1;16353&1|14120&1|7465&0|4708&0|7879&0|11035&1|433&1|7393&1|65&1|6022&0|13233&0|19451&0|2549&1
10127&1|5879&1|7551&1|4362&0|2314&1|8064&0|16969&1|4281&1|10949&1|781&1;968&1|5213&0|13314&0;10127&1|5879&1|7551&1|4362&0|2314&1|8064&0|16969&1|4281&1|10949&1|781&1|968&1|5213&0|13314&0
19895&0|5564&0|18940&0|1284&0|20387&0|3490&0|18075&0|12604&1|12588&0|8981&0;11762&1|15216&1|4312&1;19895&0|5564&0|18940&0|1284&0|20387&0|3490&0|18075&0|12604&1|12588&0|8981&0|11762&1|15216&1|4312&1
10168&1|11202&1|19311&1|14353&1|7710&1|2046&1|18534&1|19100&1|1273&0|9300&1;1731&1|6079&1|7543&1;10168&1|11202&1|19311&1|14353&1|7710&1|2046&1|18534&1|19100&1|1273&0|9300&1|1731&1|6079&1|7543&1
2494&0|15216&0|9657&0|10642&0|7162&0|10364&1|20681&0|16496&0|6779&0|7100&1;15732&0|3500&1|9942&0;2494&0|15216&0|9657&0|10642&0|7162&0|10364&1|20681&0|16496&0|6779&0|7100&1|15732&0|3500&1|9942&0
3589&1|18821&0|17429&0|18513&1|5239&0|966&0|3589&0|8651&0|5239&0|18821&0;966&1|5239&1|17429&1;3589&1|18821&0|17429&0|18513&1|5239&0|966&0|3589&0|8651&0|5239&0|18821&0|966&1|5239&1|17429&1
2137&1|18657&0|6059&1|15740&0|4045&1|12604&1|3025&0|20653&0|14140&0|11682&1;14920&1|14842&1|12396&0;2137&1|18657&0|6059&1|15740&0|4045&1|12604&1|3025&0|20653&0|14140&0|11682&1|14920&1|14842&1|12396&0
15099&0|779&1|1727&0|5677&0|3900&0|4354&0|10735&0|8165&0|7371&0|2868&0;4354&1|20180&1|3627&1;15099&0|779&1|1727&0|5677&0|3900&0|4354&0|10735&0|8165&0|7371&0|2868&0|4354&1|20180&1|3627&1
3500&0|16975&0|8566&0|5544&0|20481&1|10364&1|5544&1|20657&0|5861&0|9657&1;3983&1|12963&1|2494&1;3500&0|16975&0|8566&0|5544&0|20481&1|10364&1|5544&1|20657&0|5861&0|9657&1|3983&1|12963&1|2494&1
